,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category
0,Switzerland,WE,Western Europe,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,high
1,Iceland,WE,Western Europe,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,high
2,Denmark,WE,Western Europe,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,high
3,Norway,WE,Western Europe,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,high
4,Canada,NAANZ,North America and ANZ,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,high
5,Finland,WE,Western Europe,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,high
6,Netherlands,WE,Western Europe,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,high
7,Sweden,WE,Western Europe,2015,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,high
8,New Zealand,NAANZ,North America and ANZ,2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,high
9,Australia,NAANZ,North America and ANZ,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,high
10,Israel,MENA,Middle East and North Africa,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,high
11,Costa Rica,LAC,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,high
12,Austria,WE,Western Europe,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,high
13,Mexico,LAC,Latin America and Caribbean,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,high
14,United States,NAANZ,North America and ANZ,2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,high
15,Brazil,LAC,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,middle-high
16,Luxembourg,WE,Western Europe,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,middle-high
17,Ireland,WE,Western Europe,2015,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,middle-high
18,Belgium,WE,Western Europe,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,middle-high
19,United Arab Emirates,MENA,Middle East and North Africa,2015,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,middle-high
20,United Kingdom,WE,Western Europe,2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,middle-high
21,Oman,MENA,Middle East and North Africa,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,middle-high
22,Venezuela,LAC,Latin America and Caribbean,2015,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,middle-high
23,Singapore,SEA,Southeast Asia,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,middle-high
24,Panama,LAC,Latin America and Caribbean,2015,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,middle-high
25,Germany,WE,Western Europe,2015,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,middle-high
26,Chile,LAC,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,middle-high
27,Qatar,MENA,Middle East and North Africa,2015,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,middle-high
28,France,WE,Western Europe,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,middle-high
29,Argentina,LAC,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,middle-high
30,Czech Republic,CEE,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,middle-high
31,Uruguay,LAC,Latin America and Caribbean,2015,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,middle-high
32,Colombia,LAC,Latin America and Caribbean,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,middle-high
33,Thailand,SEA,Southeast Asia,2015,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,middle-high
34,Saudi Arabia,MENA,Middle East and North Africa,2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,middle-high
35,Spain,WE,Western Europe,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,middle-high
36,Malta,WE,Western Europe,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,middle-high
37,Taiwan Province of China,SA,South Asia,2015,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,middle-high
38,Kuwait,MENA,Middle East and North Africa,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,middle-high
39,Suriname,LAC,Latin America and Caribbean,2015,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,middle-high
40,Trinidad and Tobago,LAC,Latin America and Caribbean,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,middle-high
41,El Salvador,LAC,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,middle-high
42,Guatemala,LAC,Latin America and Caribbean,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,middle-high
43,Uzbekistan,CIS,Commonwealth of Independent States,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,middle-high
44,Slovakia,CEE,Central and Eastern Europe,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,middle-high
45,Japan,EA,East Asia,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,middle-high
46,South Korea,EA,East Asia,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,middle-high
47,Ecuador,LAC,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,middle-high
