,country,region_id,region,Year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual,happiness_category,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
0,Switzerland,WE,Western Europe,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,high,-3.660438276,1.599433845,0.573009191,0,high
1,Iceland,WE,Western Europe,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,high,-2.903042911,1.106369323,-1.652438874,0,high
2,Denmark,WE,Western Europe,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,high,-3.592613963,2.209002477,0.600255939,0,high
3,Norway,WE,Western Europe,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,high,-3.462809558,1.700041064,0.145475166,0,high
4,Canada,NAANZ,North America and ANZ,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,high,-3.188168015,2.182103002,-0.735198504,0,high
5,Finland,WE,Western Europe,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,high,-3.239554502,1.262816577,0.894556477,0,high
6,Netherlands,WE,Western Europe,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,high,-3.035618298,2.242437175,-0.837985966,0,high
7,Sweden,WE,Western Europe,2015,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,high,-3.42952382,2.174456695,0.378467464,0,high
8,New Zealand,NAANZ,North America and ANZ,2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,high,-3.322035676,2.786609633,-0.382942861,0,high
9,Australia,NAANZ,North America and ANZ,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,high,-3.264216003,2.192629674,-0.451204912,0,high
10,Israel,MENA,Middle East and North Africa,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,high,-1.730626974,-0.087992627,-1.426664717,2,medium
11,Costa Rica,LAC,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,high,-1.884727396,0.235277652,-0.669889974,0,high
12,Austria,WE,Western Europe,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,high,-2.605851509,0.782727237,-0.654627787,0,high
13,Mexico,LAC,Latin America and Caribbean,2015,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,high,-1.340181676,-0.062417363,0.761302518,2,medium
14,United States,NAANZ,North America and ANZ,2015,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,high,-2.298330163,0.942727838,-1.158514687,0,high
15,Brazil,LAC,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,middle-high,-1.293002267,-0.282163653,0.178684077,2,medium
16,Luxembourg,WE,Western Europe,2015,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,middle-high,-3.127503739,1.245706292,0.70009348,0,high
17,Ireland,WE,Western Europe,2015,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,middle-high,-2.877338189,1.941811064,-0.996814747,0,high
18,Belgium,WE,Western Europe,2015,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,middle-high,-2.416474629,0.236836494,0.068240572,0,high
19,United Arab Emirates,MENA,Middle East and North Africa,2015,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,middle-high,-2.72373035,1.475891127,1.00822146,0,high
20,United Kingdom,WE,Western Europe,2015,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,middle-high,-2.762541414,2.49071515,-1.116296227,0,high
21,Oman,MENA,Middle East and North Africa,2015,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,middle-high,-2.301184076,0.995929814,1.046859972,0,high
22,Venezuela,LAC,Latin America and Caribbean,2015,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,middle-high,-1.011464744,-1.301011425,0.255037314,2,medium
23,Singapore,SEA,Southeast Asia,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,middle-high,-3.114589154,1.852322305,1.161804125,0,high
24,Panama,LAC,Latin America and Caribbean,2015,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,middle-high,-1.388559365,-0.048625696,-0.63941228,2,medium
25,Germany,WE,Western Europe,2015,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,middle-high,-2.439163195,0.620050483,-0.246824262,0,high
26,Chile,LAC,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,middle-high,-1.309546354,0.406529971,-1.013243336,2,medium
27,Qatar,MENA,Middle East and North Africa,2015,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,middle-high,-3.154542933,2.380645537,1.508179865,0,high
28,France,WE,Western Europe,2015,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,middle-high,-2.117687001,-0.528478085,0.477211543,0,high
29,Argentina,LAC,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,middle-high,-1.038339702,-1.089512629,-0.160904868,2,medium
30,Czech Republic,CEE,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,middle-high,-1.076229426,-1.450291804,-0.287954858,2,medium
31,Uruguay,LAC,Latin America and Caribbean,2015,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,middle-high,-1.813517278,0.689995465,0.207734939,0,high
32,Colombia,LAC,Latin America and Caribbean,2015,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,middle-high,-0.807325696,-0.473315251,-0.557348482,2,medium
33,Thailand,SEA,Southeast Asia,2015,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,middle-high,-1.138213312,1.768821905,-2.800940289,0,high
34,Saudi Arabia,MENA,Middle East and North Africa,2015,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,middle-high,-1.295153339,-0.160880317,1.073010808,2,medium
35,Spain,WE,Western Europe,2015,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,middle-high,-1.501652564,-1.035812569,-0.729461113,2,medium
36,Malta,WE,Western Europe,2015,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,middle-high,-1.981331018,1.710914229,-1.967868587,0,high
37,Taiwan Province of China,SA,South Asia,2015,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,middle-high,-1.053351079,-0.449124216,-0.703893534,2,medium
38,Kuwait,MENA,Middle East and North Africa,2015,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,middle-high,-1.907484231,0.081874104,0.917914711,0,high
39,Suriname,LAC,Latin America and Caribbean,2015,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,middle-high,-0.673127853,0.196810441,0.485732762,2,medium
40,Trinidad and Tobago,LAC,Latin America and Caribbean,2015,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,middle-high,-0.776893983,0.184609127,-1.165507287,2,medium
41,El Salvador,LAC,Latin America and Caribbean,2015,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,middle-high,-0.051279223,-0.680603869,0.247734419,2,medium
42,Guatemala,LAC,Latin America and Caribbean,2015,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,middle-high,-0.400989256,0.638922638,-0.541289582,2,medium
43,Uzbekistan,CIS,Commonwealth of Independent States,2015,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,middle-high,-1.196987419,1.387101407,0.373494618,0,high
44,Slovakia,CEE,Central and Eastern Europe,2015,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,middle-high,-0.524275876,-1.344563413,-0.838881578,2,medium
45,Japan,EA,East Asia,2015,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,middle-high,-1.73549051,-0.887834078,0.363511407,2,medium
46,South Korea,EA,East Asia,2015,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,middle-high,-0.709197269,-0.986459454,-0.334661085,2,medium
47,Ecuador,LAC,Latin America and Caribbean,2015,48,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,middle-high,-0.615628941,-0.293382741,0.625135214,2,medium
48,Bahrain,MENA,Middle East and North Africa,2015,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,middle-high,-1.525594096,0.215333207,0.766555788,0,high
49,Italy,WE,Western Europe,2015,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,middle-high,-0.697567759,-1.271515933,-1.231119538,2,medium
50,Bolivia,LAC,Latin America and Caribbean,2015,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,middle-high,0.095154408,0.360420527,-0.054753124,2,medium
51,Moldova,CEE,Central and Eastern Europe,2015,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,middle-high,0.73439117,-0.539072529,-0.904916965,2,medium
52,Paraguay,LAC,Latin America and Caribbean,2015,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,middle-high,-0.557605823,0.70056077,-1.393161058,2,medium
53,Kazakhstan,CIS,Commonwealth of Independent States,2015,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,middle-high,-0.528336964,-0.719792401,0.246404519,2,medium
54,Slovenia,CEE,Central and Eastern Europe,2015,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,middle-high,-1.347663511,-0.261650173,-0.916120915,2,medium
55,Lithuania,CEE,Central and Eastern Europe,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,middle-high,0.052286437,-2.467030103,-0.268288322,2,medium
56,Nicaragua,LAC,Latin America and Caribbean,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,middle-high,-0.611965233,0.970772308,-0.398943151,2,medium
57,Peru,LAC,Latin America and Caribbean,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,middle-high,0.006822888,-0.730091112,-0.127268671,2,medium
58,Belarus,CIS,Commonwealth of Independent States,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,middle-high,-0.670446315,-0.709379634,0.327474959,2,medium
59,Poland,CEE,Central and Eastern Europe,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,middle-high,-0.889049239,-0.817981549,-0.509826066,2,medium
60,Malaysia,SEA,Southeast Asia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,middle-high,-0.756744153,0.6483765,-0.771773112,2,medium
61,Croatia,CEE,Central and Eastern Europe,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,middle-high,0.438665424,-1.823216642,0.309771143,2,medium
62,Libya,MENA,Middle East and North Africa,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,middle-high,-0.465341552,-0.489440506,-0.155780796,2,medium
63,Russia,CIS,Commonwealth of Independent States,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,middle-high,-0.134572936,-2.10742815,0.246450147,2,medium
64,Jamaica,LAC,Latin America and Caribbean,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,middle-high,-0.117275959,-0.36380885,-0.774272745,2,medium
65,North Cyprus,WE,Western Europe,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,middle-high,-1.154390635,0.092492417,-0.367042821,2,medium
66,Cyprus,WE,Western Europe,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,middle-high,-0.567214991,-0.062762439,-0.851571794,2,medium
67,Algeria,MENA,Middle East and North Africa,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,middle-high,0.191070244,-0.919485026,0.558574888,2,medium
68,Kosovo,CEE,Central and Eastern Europe,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,middle-high,0.943699824,-0.094006056,-0.887222581,1,low
69,Turkmenistan,CIS,Commonwealth of Independent States,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,middle-high,-0.645428456,0.617549941,0.801542668,2,medium
